neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
Brooklyn,Bushwick,Entire home/apt,162,2,46
Bronx,Concourse Village,Private room,45,5,46
Brooklyn,Bay Ridge,Private room,79,1,0
Manhattan,Morningside Heights,Private room,60,9,7
Manhattan,Chelsea,Private room,76,3,164
Manhattan,Upper West Side,Private room,99,1,280
Manhattan,Washington Heights,Private room,45,2,3
Queens,Jackson Heights,Entire home/apt,144,2,13
Manhattan,Hell's Kitchen,Entire home/apt,130,30,4
Manhattan,Harlem,Entire home/apt,89,1,1
Manhattan,Upper East Side,Entire home/apt,125,2,8
Brooklyn,Williamsburg,Shared room,40,1,34
Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,31,1
Manhattan,West Village,Private room,160,3,1
Queens,Ditmars Steinway,Private room,85,3,10
Manhattan,Lower East Side,Entire home/apt,85,35,0
Manhattan,Harlem,Private room,80,1,0
Brooklyn,Bushwick,Private room,65,1,57
Manhattan,Murray Hill,Entire home/apt,220,30,6
Brooklyn,Canarsie,Private room,75,1,11
Manhattan,Harlem,Private room,65,2,5
Manhattan,Nolita,Entire home/apt,350,5,1
Manhattan,Hell's Kitchen,Entire home/apt,499,30,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,142,2,5
Brooklyn,Midwood,Entire home/apt,116,2,2
Queens,Rego Park,Private room,60,2,12
Manhattan,Upper East Side,Private room,85,1,2
Manhattan,Upper West Side,Entire home/apt,150,3,0
Brooklyn,Flatbush,Private room,69,2,1
Brooklyn,Bushwick,Entire home/apt,70,30,0
Brooklyn,Williamsburg,Private room,100,1,0
Manhattan,Upper East Side,Entire home/apt,190,31,4
Manhattan,Harlem,Entire home/apt,99,2,5
Queens,Ridgewood,Private room,50,1,14
Manhattan,East Village,Private room,100,7,1
Queens,Rosedale,Private room,84,1,89
Manhattan,East Harlem,Private room,85,2,2
Brooklyn,Flatbush,Entire home/apt,100,3,9
Brooklyn,Flatbush,Entire home/apt,150,2,13
Brooklyn,Williamsburg,Entire home/apt,80,10,3
Queens,Astoria,Private room,50,1,27
Brooklyn,Bushwick,Private room,65,2,5
Manhattan,Harlem,Entire home/apt,160,2,4
Brooklyn,Brooklyn Heights,Entire home/apt,149,2,13
Manhattan,Hell's Kitchen,Private room,125,1,54
Manhattan,Theater District,Entire home/apt,890,1,2
Bronx,Melrose,Entire home/apt,69,7,0
Manhattan,Upper East Side,Private room,79,1,62
Manhattan,East Harlem,Entire home/apt,115,2,0
Brooklyn,Carroll Gardens,Entire home/apt,180,3,4
Brooklyn,Crown Heights,Private room,70,1,2
Queens,Woodside,Private room,57,2,21
Manhattan,Upper East Side,Entire home/apt,199,3,57
Manhattan,Upper West Side,Private room,75,1,5
Brooklyn,Williamsburg,Private room,65,3,0
Manhattan,East Village,Entire home/apt,250,3,0
Brooklyn,Fort Greene,Private room,102,2,1
Queens,Ridgewood,Private room,75,14,11
Manhattan,Upper West Side,Entire home/apt,550,3,5
Manhattan,Tribeca,Entire home/apt,500,2,1
Manhattan,SoHo,Entire home/apt,190,1,94
Brooklyn,Greenpoint,Entire home/apt,110,30,4
Manhattan,Battery Park City,Private room,100,1,1
Brooklyn,Red Hook,Private room,52,2,41
Brooklyn,Williamsburg,Entire home/apt,250,2,88
Manhattan,Kips Bay,Private room,175,2,41
Brooklyn,Carroll Gardens,Entire home/apt,150,1,78
Brooklyn,Greenpoint,Private room,99,5,0
Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,125,3,0
Brooklyn,Williamsburg,Private room,70,2,1
Brooklyn,Greenpoint,Private room,49,14,0
Manhattan,Upper East Side,Entire home/apt,200,2,5
Manhattan,Harlem,Private room,49,1,12
Brooklyn,Williamsburg,Private room,75,2,5
Manhattan,Midtown,Entire home/apt,239,30,1
Queens,Ditmars Steinway,Private room,55,2,0
Queens,Ditmars Steinway,Private room,55,1,5
Manhattan,Washington Heights,Private room,55,3,89
Manhattan,Chelsea,Entire home/apt,110,4,6
Brooklyn,Williamsburg,Entire home/apt,2000,1,0
Brooklyn,Greenpoint,Private room,59,3,29
Queens,Sunnyside,Entire home/apt,115,2,31
Brooklyn,Williamsburg,Entire home/apt,160,3,2
Manhattan,Washington Heights,Private room,37,13,2
Brooklyn,Cobble Hill,Entire home/apt,145,3,13
Brooklyn,Williamsburg,Private room,80,1,1
Queens,Sunnyside,Entire home/apt,82,21,0
Bronx,Woodlawn,Private room,50,1,6
Brooklyn,Williamsburg,Entire home/apt,200,3,4
Manhattan,Hell's Kitchen,Entire home/apt,160,2,53
Brooklyn,Bedford-Stuyvesant,Entire home/apt,169,3,44
Brooklyn,Williamsburg,Entire home/apt,210,3,31
Manhattan,Financial District,Entire home/apt,525,2,3
Brooklyn,Prospect-Lefferts Gardens,Private room,50,4,6
Brooklyn,Flatbush,Entire home/apt,120,3,12
Manhattan,Nolita,Private room,84,1,1
