neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
Manhattan,Harlem,Private room,40,20,0
Brooklyn,Boerum Hill,Entire home/apt,350,2,134
Manhattan,Chinatown,Entire home/apt,500,4,6
Brooklyn,Bedford-Stuyvesant,Private room,42,30,1
Brooklyn,Bedford-Stuyvesant,Entire home/apt,250,4,3
Manhattan,Upper East Side,Entire home/apt,590,14,0
Queens,Jamaica,Entire home/apt,128,2,23
Queens,Long Island City,Entire home/apt,190,2,65
Brooklyn,Williamsburg,Private room,120,4,0
Manhattan,Midtown,Entire home/apt,350,3,0
Bronx,City Island,Private room,50,2,45
Staten Island,Concord,Shared room,30,4,1
Queens,Long Island City,Private room,200,2,6
Manhattan,East Village,Private room,285,1,0
Brooklyn,Bushwick,Private room,67,30,3
Manhattan,Civic Center,Entire home/apt,175,30,0
Manhattan,Hell's Kitchen,Entire home/apt,160,2,5
Bronx,Wakefield,Private room,37,1,12
Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,4,7
Staten Island,Midland Beach,Entire home/apt,105,4,20
Brooklyn,Williamsburg,Entire home/apt,300,10,0
Brooklyn,Bushwick,Private room,43,1,0
Queens,Corona,Shared room,40,2,10
Manhattan,Hell's Kitchen,Private room,199,1,1
Queens,Forest Hills,Shared room,33,4,0
Manhattan,Midtown,Entire home/apt,150,2,1
Brooklyn,Williamsburg,Entire home/apt,200,2,1
Queens,Jamaica,Private room,99,3,0
Brooklyn,Bushwick,Entire home/apt,87,2,70
Manhattan,East Harlem,Private room,66,2,23
Manhattan,Upper West Side,Entire home/apt,650,2,30
Brooklyn,Williamsburg,Entire home/apt,200,1,14
Brooklyn,Greenpoint,Entire home/apt,150,3,1
Staten Island,Great Kills,Entire home/apt,180,30,9
Brooklyn,Brownsville,Private room,90,4,4
Brooklyn,Williamsburg,Private room,70,4,1
Brooklyn,Williamsburg,Entire home/apt,299,2,2
Brooklyn,Bushwick,Private room,125,2,4
Manhattan,Upper East Side,Entire home/apt,180,2,1
Brooklyn,Borough Park,Private room,60,3,1
Manhattan,Upper East Side,Entire home/apt,135,2,31
Queens,Astoria,Entire home/apt,135,1,229
Brooklyn,Williamsburg,Entire home/apt,240,3,3
Manhattan,Lower East Side,Private room,58,10,0
Manhattan,Harlem,Private room,67,2,8
Queens,Woodside,Private room,37,1,0
Brooklyn,Bushwick,Private room,30,7,0
Brooklyn,Clinton Hill,Private room,97,1,23
Brooklyn,Carroll Gardens,Entire home/apt,180,4,5
Manhattan,Hell's Kitchen,Entire home/apt,200,4,10
Brooklyn,Borough Park,Entire home/apt,120,1,3
Queens,Astoria,Private room,60,7,0
Brooklyn,Prospect-Lefferts Gardens,Private room,50,2,58
Brooklyn,Williamsburg,Entire home/apt,245,2,14
Manhattan,Harlem,Entire home/apt,165,120,7
Manhattan,Upper West Side,Private room,123,3,176
Bronx,Hunts Point,Private room,70,2,1
Manhattan,Harlem,Entire home/apt,135,30,25
Manhattan,Chelsea,Entire home/apt,89,110,6
Brooklyn,Bedford-Stuyvesant,Entire home/apt,69,1,40
Brooklyn,Kensington,Entire home/apt,100,3,2
Manhattan,Chelsea,Entire home/apt,450,90,0
Manhattan,Harlem,Private room,89,1,8
Manhattan,Upper East Side,Entire home/apt,160,2,6
Queens,Forest Hills,Private room,125,2,128
Manhattan,West Village,Private room,130,1,74
Brooklyn,Cypress Hills,Private room,29,1,51
Brooklyn,Crown Heights,Entire home/apt,100,3,2
Brooklyn,Bedford-Stuyvesant,Private room,49,7,41
Queens,Long Island City,Entire home/apt,350,2,0
Brooklyn,Windsor Terrace,Private room,65,2,0
Manhattan,Washington Heights,Private room,35,2,1
Brooklyn,Greenpoint,Entire home/apt,75,2,0
Brooklyn,Greenpoint,Private room,75,1,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,155,2,122
Brooklyn,Crown Heights,Entire home/apt,88,3,29
Brooklyn,Bushwick,Entire home/apt,129,7,5
Brooklyn,Bushwick,Entire home/apt,105,1,58
Brooklyn,Williamsburg,Private room,190,1,30
Brooklyn,Flatbush,Private room,56,7,12
Manhattan,Upper West Side,Entire home/apt,1000,30,24
Brooklyn,Bushwick,Private room,60,2,226
Brooklyn,Williamsburg,Entire home/apt,245,3,20
Manhattan,Lower East Side,Private room,40,10,0
Manhattan,East Village,Entire home/apt,850,3,0
Manhattan,Tribeca,Entire home/apt,269,30,0
Brooklyn,Williamsburg,Private room,50,7,4
Manhattan,Upper West Side,Private room,100,1,0
Brooklyn,Williamsburg,Private room,65,1,0
Manhattan,Financial District,Private room,145,1,9
Manhattan,Harlem,Private room,159,3,0
Brooklyn,Red Hook,Entire home/apt,134,2,157
Queens,Woodhaven,Private room,45,2,5
Brooklyn,Sunset Park,Entire home/apt,180,7,1
Brooklyn,Brownsville,Private room,79,2,70
Brooklyn,Greenpoint,Private room,50,1,0
Queens,Astoria,Entire home/apt,125,2,26
Manhattan,Upper East Side,Entire home/apt,206,30,0
Manhattan,Harlem,Private room,70,3,7
Brooklyn,Prospect Heights,Private room,85,3,3
Manhattan,Upper West Side,Private room,95,1,0
Brooklyn,Fort Greene,Shared room,25,2,8
Brooklyn,Bushwick,Private room,36,20,0
Manhattan,Roosevelt Island,Private room,60,1,0
Manhattan,Theater District,Entire home/apt,316,30,0
Manhattan,East Harlem,Private room,79,3,56
Manhattan,Harlem,Private room,95,1,4
Manhattan,Harlem,Entire home/apt,199,2,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,5,25
Manhattan,Washington Heights,Entire home/apt,115,2,16
Queens,Astoria,Private room,69,40,23
Queens,Jackson Heights,Entire home/apt,135,2,46
Manhattan,East Village,Entire home/apt,165,4,8
Brooklyn,Gowanus,Entire home/apt,299,2,35
Manhattan,Harlem,Entire home/apt,355,5,14
Manhattan,Chelsea,Entire home/apt,6800,1,0
Brooklyn,Prospect-Lefferts Gardens,Private room,70,1,19
Manhattan,Greenwich Village,Entire home/apt,190,1,20
Brooklyn,Clinton Hill,Entire home/apt,175,1,363
Manhattan,Upper West Side,Entire home/apt,245,2,33
Brooklyn,Williamsburg,Private room,65,2,9
Brooklyn,Crown Heights,Private room,75,3,0
Brooklyn,Williamsburg,Entire home/apt,220,5,10
Brooklyn,Bushwick,Private room,40,30,0
Manhattan,Upper West Side,Entire home/apt,225,2,29
Manhattan,Gramercy,Entire home/apt,259,1,14
Manhattan,Washington Heights,Entire home/apt,160,1,3
Brooklyn,Bedford-Stuyvesant,Private room,65,3,5
Brooklyn,Bedford-Stuyvesant,Private room,33,14,1
Queens,Flushing,Private room,185,2,25
Manhattan,Washington Heights,Private room,52,1,0
Manhattan,East Village,Entire home/apt,145,3,7
Brooklyn,Red Hook,Entire home/apt,120,4,2
Brooklyn,Kensington,Private room,45,1,22
Brooklyn,Williamsburg,Private room,87,30,2
Brooklyn,Williamsburg,Private room,115,1,2
Manhattan,Upper West Side,Entire home/apt,145,59,0
Brooklyn,Williamsburg,Entire home/apt,160,2,1
Manhattan,Hell's Kitchen,Private room,53,30,0
Manhattan,Inwood,Entire home/apt,120,1,30
Manhattan,Hell's Kitchen,Entire home/apt,289,3,3
Brooklyn,Bedford-Stuyvesant,Private room,85,1,8
Brooklyn,Manhattan Beach,Entire home/apt,145,4,59
Brooklyn,Kensington,Private room,35,14,2
Manhattan,Hell's Kitchen,Entire home/apt,898,2,5
Manhattan,Midtown,Entire home/apt,190,29,53
Brooklyn,Bedford-Stuyvesant,Entire home/apt,105,5,12
Brooklyn,Williamsburg,Private room,35,1,2
Brooklyn,Windsor Terrace,Entire home/apt,375,7,1
Manhattan,Upper West Side,Entire home/apt,300,2,0
Manhattan,Washington Heights,Private room,88,2,48
Brooklyn,Greenpoint,Entire home/apt,95,3,0
Brooklyn,Crown Heights,Entire home/apt,70,2,2
Brooklyn,South Slope,Entire home/apt,111,2,1
Manhattan,Hell's Kitchen,Entire home/apt,244,3,0
Manhattan,Chinatown,Entire home/apt,250,2,1
Queens,Middle Village,Entire home/apt,265,7,38
Brooklyn,Carroll Gardens,Entire home/apt,175,7,17
Brooklyn,Bedford-Stuyvesant,Entire home/apt,140,3,12
Brooklyn,Williamsburg,Private room,64,3,247
Queens,Flushing,Private room,50,1,112
Manhattan,Washington Heights,Private room,60,2,8
Manhattan,East Harlem,Private room,65,2,129
Manhattan,East Village,Entire home/apt,142,1,146
Queens,Ditmars Steinway,Private room,60,2,22
Manhattan,Upper West Side,Entire home/apt,250,15,0
Manhattan,Upper West Side,Private room,89,3,7
Queens,Sunnyside,Private room,46,1,0
Brooklyn,Greenpoint,Private room,65,30,3
Manhattan,Tribeca,Entire home/apt,210,30,0
Manhattan,Roosevelt Island,Private room,79,2,29
Brooklyn,Greenpoint,Private room,50,1,0
Manhattan,Harlem,Entire home/apt,132,2,0
Manhattan,Harlem,Entire home/apt,87,3,2
Manhattan,East Village,Private room,90,5,92
Manhattan,Upper East Side,Entire home/apt,450,2,110
Manhattan,Greenwich Village,Entire home/apt,210,1,58
Manhattan,Financial District,Entire home/apt,175,2,1
Queens,Jamaica Estates,Private room,35,2,30
Manhattan,Washington Heights,Entire home/apt,110,7,0
Manhattan,Lower East Side,Entire home/apt,145,6,13
Manhattan,Financial District,Entire home/apt,325,5,7
Brooklyn,Fort Hamilton,Private room,65,3,19
Manhattan,East Village,Entire home/apt,281,90,0
Brooklyn,Bedford-Stuyvesant,Private room,60,3,13
Manhattan,Chelsea,Entire home/apt,225,2,47
Queens,Ridgewood,Private room,65,2,1
Brooklyn,Greenpoint,Entire home/apt,149,30,0
Brooklyn,Bedford-Stuyvesant,Private room,65,2,24
Queens,Flushing,Entire home/apt,72,2,94
Queens,Richmond Hill,Entire home/apt,129,180,0
Manhattan,East Village,Private room,89,2,11
Brooklyn,Cypress Hills,Private room,35,28,5
Manhattan,Harlem,Private room,47,7,2
Manhattan,East Village,Entire home/apt,170,3,8
Brooklyn,Bushwick,Private room,60,3,50
Brooklyn,Williamsburg,Private room,95,2,32
Manhattan,Upper West Side,Entire home/apt,125,30,0
Brooklyn,Gowanus,Private room,149,1,7
Manhattan,East Harlem,Entire home/apt,110,29,9
Brooklyn,Williamsburg,Private room,50,3,2
Manhattan,East Harlem,Entire home/apt,140,3,2
Queens,Long Island City,Private room,88,1,11
Manhattan,Theater District,Entire home/apt,2000,1,3
Manhattan,Chelsea,Entire home/apt,249,2,6
Manhattan,West Village,Entire home/apt,156,1,0
Queens,Astoria,Private room,100,1,3
Brooklyn,Clinton Hill,Entire home/apt,135,5,6
Brooklyn,Fort Greene,Entire home/apt,155,1,16
Manhattan,Upper East Side,Entire home/apt,160,2,48
Brooklyn,Bedford-Stuyvesant,Private room,43,1,4
Brooklyn,Bedford-Stuyvesant,Private room,58,1,11
Brooklyn,Fort Greene,Entire home/apt,350,3,0
Queens,Astoria,Entire home/apt,80,2,13
Manhattan,Chelsea,Private room,179,3,69
Manhattan,Theater District,Entire home/apt,278,30,0
Manhattan,Kips Bay,Shared room,39,2,1
Manhattan,East Harlem,Private room,67,1,2
Brooklyn,Bushwick,Entire home/apt,82,4,8
Manhattan,Kips Bay,Entire home/apt,87,30,0
Brooklyn,Williamsburg,Entire home/apt,220,30,0
Brooklyn,Williamsburg,Entire home/apt,180,1,16
Brooklyn,Williamsburg,Private room,120,14,76
Manhattan,Upper West Side,Shared room,53,3,7
Manhattan,Upper West Side,Entire home/apt,135,30,2
Manhattan,East Village,Entire home/apt,160,7,35
Brooklyn,Boerum Hill,Entire home/apt,165,30,3
Manhattan,Midtown,Entire home/apt,1000,3,0
Brooklyn,South Slope,Private room,99,5,4
Brooklyn,Flatlands,Private room,75,3,0
Manhattan,Chelsea,Entire home/apt,250,5,4
Brooklyn,Gowanus,Entire home/apt,150,5,25
Manhattan,East Village,Private room,88,7,17
Manhattan,East Village,Private room,62,30,0
Brooklyn,Bedford-Stuyvesant,Private room,52,2,13
Queens,Astoria,Entire home/apt,75,3,1
Brooklyn,South Slope,Entire home/apt,120,3,15
Manhattan,Upper West Side,Entire home/apt,120,6,5
Manhattan,Harlem,Private room,38,3,1
Brooklyn,Williamsburg,Entire home/apt,175,2,102
Manhattan,Lower East Side,Entire home/apt,175,4,36
Brooklyn,Bushwick,Private room,60,2,13
Brooklyn,Bedford-Stuyvesant,Private room,50,5,18
Brooklyn,Williamsburg,Private room,109,1,228
Manhattan,Upper East Side,Private room,65,1,17
Manhattan,East Harlem,Private room,80,1,0
Brooklyn,Borough Park,Shared room,40,3,2
Brooklyn,Greenpoint,Entire home/apt,200,7,6
Manhattan,Tribeca,Private room,89,3,9
Queens,Jamaica,Entire home/apt,125,3,42
Manhattan,Upper East Side,Private room,540,2,0
Brooklyn,Williamsburg,Entire home/apt,165,2,7
Queens,Jamaica,Private room,70,1,29
Brooklyn,Flatbush,Private room,50,27,6
Manhattan,Chinatown,Private room,120,2,8
Brooklyn,Downtown Brooklyn,Entire home/apt,195,3,0
Brooklyn,Greenpoint,Private room,110,2,3
Brooklyn,Boerum Hill,Entire home/apt,150,30,1
Brooklyn,Crown Heights,Private room,150,1,2
Manhattan,Midtown,Entire home/apt,159,90,0
Brooklyn,Williamsburg,Private room,120,1,0
Manhattan,Theater District,Entire home/apt,219,29,0
Manhattan,Upper East Side,Entire home/apt,153,2,4
Brooklyn,Crown Heights,Private room,974,7,0
Brooklyn,Boerum Hill,Entire home/apt,119,5,12
Queens,Kew Gardens Hills,Entire home/apt,199,1,0
Manhattan,East Harlem,Private room,90,2,3
Manhattan,Upper East Side,Entire home/apt,145,4,2
Brooklyn,Sunset Park,Entire home/apt,150,7,6
Brooklyn,Gravesend,Shared room,25,7,0
Brooklyn,Williamsburg,Shared room,37,1,12
Manhattan,Midtown,Entire home/apt,198,2,16
Manhattan,Upper East Side,Private room,990,2,1
Brooklyn,Fort Greene,Entire home/apt,200,1,0
Manhattan,Nolita,Entire home/apt,129,2,6
Queens,Whitestone,Private room,35,1,35
Manhattan,Lower East Side,Private room,95,1,13
Queens,East Elmhurst,Private room,70,2,2
Brooklyn,Williamsburg,Private room,55,5,9
Manhattan,Harlem,Entire home/apt,78,3,13
Brooklyn,Williamsburg,Entire home/apt,300,1,70
Brooklyn,Park Slope,Entire home/apt,200,1,0
Brooklyn,Greenpoint,Entire home/apt,175,3,96
Brooklyn,Bedford-Stuyvesant,Private room,55,4,11
Brooklyn,Bushwick,Private room,51,1,45
Manhattan,West Village,Entire home/apt,150,1,0
Brooklyn,Bedford-Stuyvesant,Private room,55,1,1
Bronx,Fordham,Private room,39,2,24
Queens,Astoria,Private room,50,2,1
Brooklyn,Williamsburg,Entire home/apt,250,2,2
Manhattan,Upper West Side,Entire home/apt,275,3,0
Bronx,Claremont Village,Private room,38,15,8
Manhattan,West Village,Entire home/apt,205,3,47
Brooklyn,Williamsburg,Entire home/apt,165,2,80
Brooklyn,Bushwick,Entire home/apt,200,3,0
Queens,Bay Terrace,Entire home/apt,189,3,85
Manhattan,Harlem,Entire home/apt,130,2,18
Staten Island,Mariners Harbor,Private room,200,1,0
Brooklyn,Williamsburg,Entire home/apt,165,4,0
Manhattan,Midtown,Private room,95,3,28
Brooklyn,Bushwick,Shared room,45,30,0
Brooklyn,Cypress Hills,Private room,42,6,12
Manhattan,Financial District,Private room,169,7,1
Queens,Jackson Heights,Private room,37,2,34
Brooklyn,Bushwick,Private room,35,20,1
Brooklyn,Bedford-Stuyvesant,Entire home/apt,400,2,13
Brooklyn,Williamsburg,Private room,350,1,19
Brooklyn,Gowanus,Private room,129,1,7
Manhattan,Midtown,Entire home/apt,150,2,2
Manhattan,Upper East Side,Entire home/apt,190,2,8
Manhattan,Midtown,Entire home/apt,100,2,1
Queens,East Elmhurst,Private room,45,3,13
Manhattan,Upper West Side,Private room,160,3,3
Manhattan,Midtown,Entire home/apt,254,29,0
Queens,Bay Terrace,Shared room,32,2,6
Manhattan,Upper West Side,Entire home/apt,115,30,0
Manhattan,Hell's Kitchen,Entire home/apt,160,1,8
Brooklyn,Bedford-Stuyvesant,Private room,40,2,39
Brooklyn,Bedford-Stuyvesant,Private room,55,2,0
Manhattan,Harlem,Private room,39,10,1
Brooklyn,Greenpoint,Private room,95,4,1
Brooklyn,East Flatbush,Private room,69,3,0
Manhattan,Harlem,Private room,75,14,4
Queens,Sunnyside,Entire home/apt,105,2,48
Manhattan,Chelsea,Entire home/apt,199,2,8
Manhattan,Midtown,Entire home/apt,394,3,1
Brooklyn,East Flatbush,Entire home/apt,150,2,36
Brooklyn,Williamsburg,Entire home/apt,100,30,4
Manhattan,West Village,Entire home/apt,250,2,6
Manhattan,Hell's Kitchen,Private room,119,7,11
Brooklyn,Bedford-Stuyvesant,Private room,80,2,106
Manhattan,Upper East Side,Entire home/apt,130,3,7
Manhattan,Financial District,Entire home/apt,420,2,285
Queens,East Elmhurst,Entire home/apt,235,2,10
Manhattan,Midtown,Entire home/apt,190,30,1
Bronx,Mott Haven,Private room,42,5,7
Bronx,Westchester Square,Private room,28,1,26
Manhattan,Upper West Side,Private room,60,1,0
Brooklyn,Williamsburg,Private room,95,1,62
Brooklyn,Carroll Gardens,Entire home/apt,150,4,9
Manhattan,Tribeca,Entire home/apt,314,30,0
Manhattan,Hell's Kitchen,Private room,80,7,7
Brooklyn,Sheepshead Bay,Entire home/apt,119,2,174
Manhattan,East Village,Entire home/apt,230,1,0
Manhattan,Midtown,Entire home/apt,300,30,0
Manhattan,Upper West Side,Entire home/apt,116,1,28
Manhattan,Chinatown,Private room,75,1,0
Brooklyn,Bushwick,Private room,65,4,4
Brooklyn,Greenpoint,Entire home/apt,199,3,75
Queens,Long Island City,Private room,80,4,3
Brooklyn,Fort Greene,Entire home/apt,125,2,8
Brooklyn,Bedford-Stuyvesant,Private room,40,3,5
Brooklyn,Greenpoint,Entire home/apt,125,3,4
Brooklyn,Bedford-Stuyvesant,Private room,90,3,126
Brooklyn,Windsor Terrace,Entire home/apt,239,3,0
Queens,Astoria,Private room,57,30,0
Brooklyn,Crown Heights,Entire home/apt,125,2,130
Manhattan,Upper West Side,Entire home/apt,180,4,9
Manhattan,Washington Heights,Entire home/apt,75,3,3
Manhattan,Harlem,Private room,55,2,8
Queens,Springfield Gardens,Private room,92,1,0
Brooklyn,Crown Heights,Entire home/apt,165,2,23
Manhattan,Upper West Side,Entire home/apt,150,30,1
Bronx,Wakefield,Entire home/apt,120,2,34
Manhattan,Chinatown,Private room,60,1,6
Brooklyn,Park Slope,Entire home/apt,300,2,85
Brooklyn,Williamsburg,Entire home/apt,400,2,10
Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,3,4
Brooklyn,Bushwick,Entire home/apt,249,2,1
Manhattan,Chelsea,Entire home/apt,200,30,7
Brooklyn,Williamsburg,Entire home/apt,72,3,7
Brooklyn,Williamsburg,Entire home/apt,102,7,26
Queens,Jamaica,Private room,70,1,81
Manhattan,Midtown,Entire home/apt,699,3,5
Queens,Jamaica,Entire home/apt,54,2,45
Manhattan,Upper West Side,Entire home/apt,150,5,2
Manhattan,Upper West Side,Private room,120,5,11
Brooklyn,Williamsburg,Private room,60,3,12
Brooklyn,Bedford-Stuyvesant,Private room,45,2,5
Manhattan,Financial District,Entire home/apt,239,30,2
Brooklyn,Flatbush,Private room,54,1,10
Manhattan,West Village,Entire home/apt,225,3,15
Brooklyn,Bedford-Stuyvesant,Private room,40,1,0
Brooklyn,Williamsburg,Entire home/apt,230,7,0
Queens,Ditmars Steinway,Entire home/apt,125,2,38
Brooklyn,Carroll Gardens,Entire home/apt,140,3,3
Queens,Springfield Gardens,Entire home/apt,200,30,68
Brooklyn,Williamsburg,Private room,180,1,1
Brooklyn,Park Slope,Entire home/apt,165,2,23
Brooklyn,Crown Heights,Entire home/apt,275,4,6
Queens,Long Island City,Private room,100,1,5
Manhattan,Midtown,Private room,365,1,1
Brooklyn,Bushwick,Entire home/apt,119,2,0
Brooklyn,Sheepshead Bay,Entire home/apt,110,2,16
Brooklyn,Williamsburg,Private room,184,2,1
Manhattan,Harlem,Private room,75,3,33
Queens,Ditmars Steinway,Private room,60,1,80
Brooklyn,Park Slope,Private room,49,2,43
Bronx,Woodlawn,Entire home/apt,77,1,197
Brooklyn,Bushwick,Private room,39,1,20
Manhattan,Midtown,Entire home/apt,299,1,0
Manhattan,Harlem,Private room,46,1,5
Manhattan,Harlem,Private room,54,7,2
Brooklyn,Williamsburg,Private room,69,3,66
Brooklyn,Cobble Hill,Entire home/apt,400,6,5
Brooklyn,Bedford-Stuyvesant,Entire home/apt,209,3,0
Manhattan,Chinatown,Private room,110,30,59
Brooklyn,Bedford-Stuyvesant,Private room,105,1,24
Manhattan,Harlem,Private room,85,1,8
Brooklyn,Bedford-Stuyvesant,Entire home/apt,67,6,10
Manhattan,Harlem,Private room,70,7,49
Brooklyn,Flatbush,Entire home/apt,80,2,103
Manhattan,Harlem,Entire home/apt,320,1,0
Manhattan,Little Italy,Entire home/apt,120,60,1
Brooklyn,Boerum Hill,Entire home/apt,118,2,3
Brooklyn,Brownsville,Private room,49,2,33
Brooklyn,Park Slope,Entire home/apt,129,5,2
Manhattan,Harlem,Entire home/apt,400,4,8
Manhattan,Flatiron District,Entire home/apt,450,3,3
Manhattan,Hell's Kitchen,Entire home/apt,180,30,16
Brooklyn,Clinton Hill,Entire home/apt,175,1,150
Brooklyn,Crown Heights,Entire home/apt,127,4,56
Brooklyn,Bedford-Stuyvesant,Private room,63,3,0
Brooklyn,Bedford-Stuyvesant,Entire home/apt,180,2,75
Manhattan,Hell's Kitchen,Private room,90,1,15
Brooklyn,Williamsburg,Private room,72,2,48
Brooklyn,Windsor Terrace,Entire home/apt,128,3,10
Brooklyn,Williamsburg,Entire home/apt,125,90,0
Manhattan,Upper West Side,Private room,70,15,0
Manhattan,Harlem,Entire home/apt,65,6,2
Brooklyn,Bushwick,Private room,70,2,90
Manhattan,Upper West Side,Private room,92,1,4
Manhattan,Financial District,Entire home/apt,231,2,13
Brooklyn,Bushwick,Entire home/apt,50,5,2
Queens,Richmond Hill,Private room,56,1,12
Manhattan,Upper West Side,Entire home/apt,125,1,0
Manhattan,Kips Bay,Private room,56,14,0
Brooklyn,Borough Park,Private room,40,1,11
Brooklyn,Bushwick,Private room,70,4,15
Brooklyn,Bedford-Stuyvesant,Private room,250,2,0
Manhattan,SoHo,Entire home/apt,285,4,1
Brooklyn,Crown Heights,Entire home/apt,145,2,0
Manhattan,Chelsea,Private room,200,1,1
Manhattan,Harlem,Private room,72,2,27
Manhattan,Upper East Side,Entire home/apt,160,7,1
Brooklyn,Bushwick,Private room,50,3,0
Queens,Ditmars Steinway,Private room,105,1,0
Brooklyn,Crown Heights,Private room,75,6,3
Manhattan,Hell's Kitchen,Private room,107,1,25
Manhattan,Hell's Kitchen,Entire home/apt,149,1,122
Manhattan,East Village,Private room,60,1,11
Bronx,Fieldston,Entire home/apt,60,1,25
Brooklyn,Williamsburg,Entire home/apt,150,1,4
Brooklyn,Bedford-Stuyvesant,Private room,35,1,27
Brooklyn,Crown Heights,Private room,100,2,0
Manhattan,Washington Heights,Shared room,120,3,38
Queens,Flushing,Private room,65,1,11
Brooklyn,Williamsburg,Private room,55,5,61
Manhattan,Harlem,Entire home/apt,87,2,11
Manhattan,Harlem,Private room,52,5,7
Manhattan,Midtown,Entire home/apt,275,30,39
Brooklyn,Kensington,Entire home/apt,85,7,3
Brooklyn,Greenpoint,Private room,200,4,0
Brooklyn,Williamsburg,Private room,79,2,3
Brooklyn,Bedford-Stuyvesant,Entire home/apt,139,1,4
Brooklyn,East Flatbush,Entire home/apt,125,3,2
Brooklyn,Flatbush,Private room,72,1,25
Manhattan,Lower East Side,Entire home/apt,120,1,4
Brooklyn,Greenpoint,Private room,50,2,36
Manhattan,Morningside Heights,Private room,45,1,76
Brooklyn,Carroll Gardens,Entire home/apt,100,3,7
Manhattan,Upper East Side,Entire home/apt,160,30,0
Queens,Ozone Park,Shared room,45,1,8
Manhattan,Washington Heights,Private room,45,2,8
Manhattan,Gramercy,Entire home/apt,130,5,1
Manhattan,Morningside Heights,Entire home/apt,75,15,0
Manhattan,Midtown,Private room,300,3,0
Manhattan,Upper East Side,Entire home/apt,179,30,0
Brooklyn,Bushwick,Private room,55,2,20
Manhattan,Harlem,Entire home/apt,300,2,60
Brooklyn,Bushwick,Entire home/apt,150,3,18
Queens,Sunnyside,Private room,29,30,0
Manhattan,Upper West Side,Entire home/apt,267,30,0
Brooklyn,Bushwick,Private room,35,5,2
Brooklyn,Cypress Hills,Private room,60,3,32
Manhattan,Lower East Side,Private room,80,5,3
Manhattan,Upper East Side,Entire home/apt,125,4,12
Brooklyn,Bushwick,Private room,69,2,98
Queens,Queens Village,Private room,50,1,43
Queens,East Elmhurst,Private room,79,1,8
Manhattan,Harlem,Entire home/apt,115,1,0
Manhattan,Chinatown,Private room,73,25,13
Manhattan,Washington Heights,Private room,65,2,55
Manhattan,East Village,Entire home/apt,207,30,0
Queens,Ozone Park,Private room,70,2,114
Bronx,Wakefield,Private room,40,1,151
Brooklyn,Flatbush,Private room,50,2,3
Brooklyn,Park Slope,Entire home/apt,125,3,22
Brooklyn,Williamsburg,Entire home/apt,200,3,0
Queens,Astoria,Private room,150,2,0
Brooklyn,Crown Heights,Private room,75,1,12
Manhattan,Financial District,Entire home/apt,227,2,3
Manhattan,Tribeca,Entire home/apt,276,30,0
Manhattan,Washington Heights,Private room,77,4,80
Brooklyn,Prospect Heights,Private room,70,1,0
Brooklyn,Bushwick,Private room,35,5,1
Brooklyn,East Flatbush,Private room,59,1,3
Brooklyn,Greenpoint,Entire home/apt,400,4,0
Brooklyn,Williamsburg,Entire home/apt,250,5,21
Brooklyn,Park Slope,Entire home/apt,139,7,1
Manhattan,East Village,Private room,149,364,8
Queens,Astoria,Entire home/apt,125,1,10
Queens,Elmhurst,Entire home/apt,120,1,134
Manhattan,East Village,Entire home/apt,100,4,25
Queens,Ozone Park,Entire home/apt,125,1,11
Queens,Sunnyside,Entire home/apt,65,2,15
Queens,Sunnyside,Private room,90,2,12
Manhattan,Little Italy,Entire home/apt,90,31,9
Brooklyn,Williamsburg,Entire home/apt,117,2,14
Manhattan,Hell's Kitchen,Entire home/apt,200,3,41
Brooklyn,East Flatbush,Entire home/apt,80,2,72
Manhattan,West Village,Entire home/apt,180,4,31
Brooklyn,Clinton Hill,Private room,150,2,3
Manhattan,East Village,Entire home/apt,110,4,6
Brooklyn,Greenpoint,Entire home/apt,125,2,0
Manhattan,Upper West Side,Entire home/apt,175,2,6
Manhattan,Nolita,Entire home/apt,195,3,66
Brooklyn,South Slope,Private room,65,5,5
Manhattan,Theater District,Entire home/apt,353,30,0
Manhattan,Upper West Side,Private room,50,5,4
Manhattan,Midtown,Private room,329,1,1
Staten Island,Randall Manor,Entire home/apt,109,3,21
Manhattan,Hell's Kitchen,Shared room,69,1,8
Manhattan,Gramercy,Private room,109,1,323
Brooklyn,Williamsburg,Private room,99,3,4
Brooklyn,Bushwick,Private room,45,1,24
Brooklyn,Bedford-Stuyvesant,Entire home/apt,160,5,0
Manhattan,Upper East Side,Private room,65,1,133
Manhattan,Harlem,Entire home/apt,275,4,5
Queens,Sunnyside,Private room,65,1,4
Manhattan,Little Italy,Entire home/apt,999,7,1
Queens,Long Island City,Entire home/apt,299,1,2
Manhattan,Hell's Kitchen,Entire home/apt,209,3,1
Queens,Astoria,Private room,77,2,1
Manhattan,Morningside Heights,Entire home/apt,79,5,9
Manhattan,Inwood,Private room,100,2,7
Manhattan,East Village,Entire home/apt,325,3,17
Manhattan,Hell's Kitchen,Entire home/apt,125,2,6
Bronx,Port Morris,Private room,100,3,0
Queens,Long Island City,Entire home/apt,285,2,30
Manhattan,Washington Heights,Private room,51,1,4
Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,2,11
